"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","dimitrij","0.314966549427288","0.166776372660606","0.344774649442378","0.208419172214598","0.290814865354127","0.224480908109043"
"3","tverskij","0.222123445113087","0.148089584924145","0.200291302118655","0.160796153051376","0.232288691807312","0.165343529501284"
"5","belozerskij","0.182446713487801","0.136932890547335","0.171393182454484","0.145863158049231","0.218262969435435","0.149386306972706"
"7","smolenskij","0.0391469303913983","0.0874166174415422","0.0770329521539068","0.0889766452235453","0.0349375523318141","0.0900653066766991"
"9","posol","0.00182634847176899","0.0500182793297699","0.000969013710159693","0.0174985515234805","0","0.0153398020453238"
"11","brenskij","0.0652598651678072","0.135791558011209","0.0601605640877479","0.116390766931916","0.0564347826086957","0.0989602185101107"
"13","voin","0.039453067627031","0.0786371363944157","0.0374851953092797","0.0694022352316549","0.00832606829808947","0.0643764681388439"
"15","ksenija","0.102023870058596","0.0976886102666801","0.082457294581147","0.103610043795593","0.132083385835794","0.110628672942899"
"17","bojarin","0.0266630183190167","0.0495892103329539","0.0217134391682033","0.051839501113702","0.0221193566150391","0.0520679396403696"
"19","izbrana","0.00609019193620524","0.0490597400913426","0.00372240697403895","0.0372037728649037","0.00473232771369417","0.029350847462722"
