"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","lukavin","0.158985452717427","0.129466358454667","0.158474345042187","0.132642409310426","0.152512994653138","0.133383560284139"
"3","zmejkin","0.0993254974049009","0.0926333917883937","0.0943922045445666","0.0913388379348645","0.0818768672604922","0.0935071780931602"
"5","masha","0.00826060086457637","0.0335473108128055","0.01075040281168","0.0312707918466072","0.0066994973529701","0.0316818818803253"
"7","dosazhaeva","0.0572938530612302","0.0875358899320961","0.0531765045041158","0.0807120393587375","0.0742942350337068","0.076580827479296"
"9","dosazhaev","0.215748017583367","0.139882246177625","0.213997914078569","0.154894839622309","0.206471814384284","0.159162415860002"
"11","vetron","0.211080602680109","0.138747970233259","0.204811399873091","0.153627911495726","0.26046851289699","0.158314511998371"
"13","zdravosudov","0.163789447330677","0.132386681339896","0.188293679584675","0.135854681965098","0.14973552728261","0.138667727443241"
"15","sluga_lukavina","0.00999479915242178","0.0432610891157824","0.0121680991612788","0.0359709562859824","0.0103413935382827","0.0338263973579305"
"17","gosti","0.00550071334830436","0.0317934044180644","0.01026438366948","0.0304591462783989","0.00183962419105811","0.0289714298686099"
"19","usladov","0.0425351432587704","0.0694884988307451","0.0294666302490673","0.062385603702516","0.0363532466438093","0.0589628493019657"
"21","sluga_vetrona","0.00191241699794948","0.0164328584933817","0.00183826811486386","0.0155915653540285","0.000919812095529056","0.0147363312715293"
"23","moisej","0.0161228342557084","0.0533598596491353","0.0157506947306459","0.0446814750827397","0.0155898016277821","0.0421121358743016"
"25","porfirij","0.00945062134455834","0.0314644407541503","0.00661547363577946","0.0305697417625664","0.00289667303934735","0.0300927532871294"
