"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","spiridonevna","0.0121380402945543","0.0373963666062616","0.0138021828683059","0.0274469683448737","0","0.0329105426599968"
"3","matrena","0.0442757133208402","0.0476456590481285","0.0284403007931836","0.0512653109207761","0.192837465564738","0.0415866910824267"
"5","djadja_nikon","0.0335555538648146","0.0460088621477739","0.0156349074653956","0.0484739779907084","0.0165289256198347","0.0283004197270616"
"7","ananij_jakovlev","0.154759931913031","0.0895154971673483","0.108638568449505","0.103973146745326","0.248422642850795","0.140108768020011"
"9","lizaveta","0.0485680336739822","0.047993371083786","0.0337663990478056","0.0546194398606089","0.0495423442637519","0.0715822684525317"
"11","burmistr","0.148131348781118","0.089493843701008","0.153877661144567","0.103747816219552","0.217008797653959","0.141380779610757"
"13","ispravnik","0.118730630145892","0.0796999696558698","0.137996668174122","0.0888617064835187","0","0.0653578672262537"
"15","strjapchij","0.0328828971550326","0.0493725061596499","0.0531884777983659","0.0505478440897803","0","0.0241829255604847"
"17","chinovnik","0.0640634725443279","0.0572392890169755","0.111323487086205","0.0587030647176329","0","0.0423807792431237"
"19","sotskij","0.0651899855436851","0.0594182784567429","0.0846391329755477","0.063972972017573","0","0.0493290506492222"
"21","zolotilov","0.0784503005286902","0.064449870869476","0.0855325929210469","0.0700903579743539","0.217008797653959","0.0521230645479708"
"23","odna_iz_bab","0.00767462070698234","0.0203950938162581","0.00408448516850443","0.0172889028734369","0","0"
"25","muzhik","0.00767462070698234","0.0203950938162581","0.00408448516850443","0.0172889028734369","0","0"
"27","davyd_ivanov","0.0478159203730294","0.0496466038893588","0.03915551737562","0.0546701999983533","0","0.0775963833695881"
"29","rabotnica","0.000794164616513445","0.0166976690736417","0","0","0","0"
"31","cheglov","0.0130301427911075","0.0348966430098478","0.0101807366735301","0.0309167457905174","0.0454545454545455","0"
"33","fedor_petrov","0.0272856177494943","0.0350688770211676","0.0253900709219858","0.0287606580738683","0","0.0491783209520529"
"35","vybornyj","0.0272856177494943","0.0350688770211676","0.0253900709219858","0.0287606580738683","0","0.0491783209520529"
"37","krivoj_muzhik","0.00795872396218114","0.0181124370039599","0.0105910165484634","0.0144430516077439","0","0.0281018976868874"
"39","rjaboj_muzhik","0.0272856177494943","0.0350688770211676","0.0253900709219858","0.0287606580738683","0","0.0491783209520529"
"41","molodoj_paren","0.0272856177494943","0.0350688770211676","0.0253900709219858","0.0287606580738683","0","0.0491783209520529"
"43","lakej","0.000995352028209441","0.0128762228069861","0.00183682840961274","0.0098290099897222","0.0131964809384164","0"
"45","golos_za_stenoj","0.00416807605104936","0.0184712145859989","0.00166626824377085","0.0188179492066121","0","0.00834527835547283"
