"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","grubej","0.185378588164772","0.15906027118769","0.193328178315372","0.155550923055681","0.207039986895698","0.157875541063746"
"3","ermak","0.238407961294886","0.167588264944712","0.233008827956576","0.175373811154639","0.20689982960731","0.174882492484545"
"5","irta","0.198976425122588","0.148439841849047","0.167918032386572","0.158621007063359","0.161934433958647","0.156241791048634"
"7","sogdaj","0.0726477876807847","0.100532361161582","0.0850635942562378","0.0999103882004814","0.112725514157957","0.10222068504823"
"9","kuchum","0.218562347446399","0.150286108538711","0.227438042038847","0.169025180644934","0.210061585972223","0.16973110107893"
"11","kazak","0.0190537196369552","0.0537477120527304","0.0180979513435405","0.048249591873753","0.015739284386041","0.0495982037873531"
"13","horunzhij","0.0167860962094517","0.0531147063305596","0.0134711413980796","0.0469798657718121","0.0109664585012087","0.0474057413752742"
"15","narsim","0.0407416200578297","0.0821178395414225","0.0469248105166243","0.0698403502169905","0.0656634543692482","0.0685291528350786"
"17","vse_5-8","0.00345737977324887","0.0278698352677966","0.00466630052740856","0.0280287299219484","0.00334717659455774","0.0271536049665757"
"19","ten","0.00148949722741779","0.0261906117548158","0.00352209940227746","0.0218696107707427","0.00142564929027459","0.0205150129294192"
"21","vse_3-4","0.00449857738566694","0.031052447370933","0.00656102185846441","0.026550541325659","0.00419662626683612","0.0258466733822146"
