"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","kutilo-zavaldajskij","0.148157537228491","0.13277089606424","0.151717479674797","0.135668056841362","0.182978723404255","0.138552510624161"
"3","razorvaki","0.148157537228491","0.13277089606424","0.151717479674797","0.135668056841362","0.182978723404255","0.138552510624161"
"5","knyaz_batog-batyev","0.148157537228491","0.13277089606424","0.151717479674797","0.135668056841362","0.182978723404255","0.138552510624161"
"7","milovidov","0.148157537228491","0.13277089606424","0.151717479674797","0.135668056841362","0.182978723404255","0.138552510624161"
"9","bespardonnyj","0.148157537228491","0.13277089606424","0.151717479674797","0.135668056841362","0.182978723404255","0.138552510624161"
"11","libental","0.084422143302165","0.0919109354037997","0.0826554878048781","0.0949000259266679","0.0170212765957447","0.0984895074275513"
"13","chupurlina","0.076099753878203","0.0888042640326415","0.0758638211382114","0.0902681154320219","0","0.0911896561077245"
"15","dvornya","0.0081351927028517","0.0208725552244414","0","0","0","0.0203857260395778"
"17","lizaveta_platonovna","0.0430913270184512","0.0537760195748555","0.0453932926829268","0.0603862772733808","0.0170212765957447","0.0627096786684925"
"19","lakej","0.0118659742389679","0.0201954363607654","0.009375","0.01902632429028","0.0127659574468085","0.00861571965896209"
"21","gornichnaya","0.0118659742389679","0.0201954363607654","0.009375","0.01902632429028","0.0127659574468085","0.00861571965896209"
"23","akulina","0.0118659742389679","0.0201954363607654","0.009375","0.01902632429028","0.0127659574468085","0.00861571965896209"
"25","povar","0.0118659742389679","0.0201954363607654","0.009375","0.01902632429028","0.0127659574468085","0.00861571965896209"
