"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","vorotynskij","0.00389920969741683","0.0129118099866288","0","0.00713919376346292","0","0"
"3","shujskij","0.0212391693646212","0.0245771751792445","0.0417214584578601","0.0167401784798441","0.0938086303939963","0.0353398264942253"
"5","tsar_boris","0.0686046003678181","0.0441799974599367","0.0321578003586372","0.0516976100112832","0.0755829536317341","0.0310820160732343"
"7","bojare","0.0323653005115924","0.0309359523364296","0.00239091452480574","0.035080521079085","0.00643259179844546","0"
"9","malchik","0.00248330727064277","0.0065192509862871","0.00418410041841004","0.00553902964406606","0.010989010989011","0"
"11","pushkin","0.00248330727064277","0.0065192509862871","0.00418410041841004","0.00553902964406606","0.010989010989011","0"
"13","ksenija","0.0194918566080115","0.0217344521064903","0.00836820083682008","0.0226895066160632","0.021978021978022","0.00798339453935813"
"15","mamka","0.00389860632088364","0.0116342384366682","0.00418410041841004","0.00529285054877423","0.010989010989011","0"
"17","feodor","0.0443366508388458","0.0328462047517424","0.00836820083682008","0.0364755359524054","0.021978021978022","0.00798339453935813"
"19","semen_godunov","0.00389860632088364","0.0116342384366682","0.00418410041841004","0.00529285054877423","0.010989010989011","0"
"21","basmanov","0.0207455760379239","0.0267424875995768","0.0130304841601913","0.027120730331316","0.021978021978022","0.0124540954813987"
"23","patriarh","0.00761411637571417","0.0115852827477253","0.0125523012552301","0.00763155195404657","0.032967032967033","0.0111767523551014"
"25","pervyj_bojarin","0.00590725181170674","0.0115852827477253","0.00884638374178123","0.00730331316032413","0.010989010989011","0.00846239821171962"
"27","drugoj_bojarin","0.00590725181170674","0.0115852827477253","0.00884638374178123","0.00730331316032413","0.010989010989011","0.00846239821171962"
"29","odin_iz_naroda_1","0.00556586270871985","0.00223403425598442","0.0125523012552301","0.0059082982870038","0.032967032967033","0.012773431262973"
"31","drugoj_iz_naroda_1","0.00556586270871985","0.00223403425598442","0.0125523012552301","0.0059082982870038","0.032967032967033","0.012773431262973"
"33","tretij_iz_naroda_1","0.00556586270871985","0.00223403425598442","0.0125523012552301","0.0059082982870038","0.032967032967033","0.012773431262973"
"35","narod","0.0415441606861683","0.0353083004025098","0.0209205020920502","0.0454200430813417","0.0549450549450549","0.0202245994997073"
"37","schelkalov","0.00556586270871985","0.00223403425598442","0.0125523012552301","0.0059082982870038","0.032967032967033","0.012773431262973"
"39","odin_iz_naroda_2","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"41","drugoj_iz_naroda_2","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"43","tretij_iz_naroda_2","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"45","chetvertyj_iz_naroda_2","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"47","malchishki","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"49","staruha","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"51","jurodivyj","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"53","odin_iz_malchishek","0.012987012987013","0.0143212180338386","0","0.0137860293363422","0","0"
"55","gavrila_pushkin","0.0152249477807968","0.0187055860782008","0.033370752117563","0.0145245666222177","0.021978021978022","0.0329980307626803"
"57","muzhik_na_amvone","0.00103704875048497","0.00560724412621038","0","0.00406195507231511","0","0"
