"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","DonGuan","0.229318940760035","0.116187989556136","0.248136825580435","0.163449564134496","0.20640457307124","0.176824923894035"
"3","Leporello","0.122633598511642","0.139686684073107","0.0954989577905159","0.125155666251557","0.117638870669174","0.114061791566811"
"5","Monah","0.0246700371120435","0.0983463881636205","0.0337871287128713","0.0647571606475716","0.0568782477873387","0.0702765723168599"
"7","DonaAnna","0.106929277171087","0.139686684073107","0.101806186257724","0.121419676214197","0.102088452088452","0.1053177019237"
"9","Laura","0.126241687455517","0.10378590078329","0.140232681038905","0.113013698630137","0.105703387521569","0.114353261221582"
"11","DonKarlos","0.126241687455517","0.10378590078329","0.140232681038905","0.113013698630137","0.105703387521569","0.114353261221582"
"13","Statuja","0.00405693743277681","0.0530896431679721","0.00482673267326733","0.0336239103362391","0.0110775868351626","0.0375024289137897"
"15","PervyjGost","0.0649769585253456","0.0613577023498695","0.0588697017268446","0.0663916562889166","0.0736263736263736","0.0668275147354103"
"17","VtorojGost","0.0649769585253456","0.0613577023498695","0.0588697017268446","0.0663916562889166","0.0736263736263736","0.0668275147354103"
"19","TretijGost","0.0649769585253456","0.0613577023498695","0.0588697017268446","0.0663916562889166","0.0736263736263736","0.0668275147354103"
"21","Gost","0.0649769585253456","0.0613577023498695","0.0588697017268446","0.0663916562889166","0.0736263736263736","0.0668275147354103"
