"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Melnik","0.0854049719326384","0.0726575878659382","0.0523927392739274","0.0472369417108251","0.14","0.0493322821854321"
"3","DochRusalka","0.0184198173176599","0.0350376471227813","0.0143463325924429","0.0227100681302044","0.0525114155251141","0.025155880455816"
"5","Knjaz","0.139554442857981","0.100709451194651","0.162920118542466","0.141710825132475","0.219908675799087","0.145846771303662"
"7","Rusalki","0.0421523852367633","0.0479491152246595","0.0397386677443254","0.0403734544536967","0.100228310502283","0.0427626078023842"
"9","Odna","0.0421523852367633","0.0479491152246595","0.0397386677443254","0.0403734544536967","0.100228310502283","0.0427626078023842"
"11","Drugaja","0.0421523852367633","0.0479491152246595","0.0397386677443254","0.0403734544536967","0.100228310502283","0.0427626078023842"
"13","Lovchij","0.0581908776184795","0.05488053494251","0.0578904829258436","0.0545041635124905","0.200228310502283","0.0531546381901144"
"15","Rusalochka","0.00862068965517241","0.0399304139824404","0.00742574257425742","0.0161998485995458","0.02","0.013163238491125"
"17","Svat","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"19","Hor","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"21","OdinGolos","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"23","Devushki","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"25","Konjushij","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"27","Gost","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"29","Druzhko","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"31","Svaha","0.0668604651162791","0.0627089619179646","0.0693069306930693","0.0678274034822105","0","0.0668912300819418"
"33","Knjaginja","0.0142341619887731","0.025632661936992","0.0156765676567657","0.0269492808478425","0.0333333333333333","0.0249647626555818"
"35","Mamka","0.0142341619887731","0.025632661936992","0.0156765676567657","0.0269492808478425","0.0333333333333333","0.0249647626555818"
