"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Martyn","0.0076986479758429","0.0162873578078539","0.0681818181818182","0","0.225","0"
"3","Frants","0.182842857545404","0.102943764885101","0.185710150316469","0.113523891621582","0.425","0.217308907138345"
"5","Bertold","0.0076986479758429","0.0162873578078539","0.0681818181818182","0","0.225","0"
"7","Alber","0.186603171738059","0.0994390974468887","0.167665569097139","0.111874234683512","0","0.163613392293114"
"9","Rotenfeld","0.142922207478349","0.0930138738101654","0.12661924122556","0.103900892816169","0","0.13518635502211"
"11","Klotilda","0.0506594972975008","0.0559111278642868","0.0227272727272727","0.0576813869571573","0.125","0"
"13","Karl","0.000179850983361701","0.0136588572291943","0","0","0","0"
"15","Kosari","0.0192580909860129","0.0350233099325391","0.0454545454545455","0.0356046912523504","0","0.0530638029058749"
"17","Rytsari","0.0559886521706891","0.0554672033221132","0.0872225293677315","0.0618346408953594","0","0.106759317751105"
"19","OdinRytsar","0.0143537863451047","0.0303971489140983","0.0419786096256685","0.0298106755850571","0","0.0518003790271636"
"21","DrugojRytsar","0.0143537863451047","0.0303971489140983","0.0419786096256685","0.0298106755850571","0","0.0518003790271636"
"23","Vassaly","0.0553089682636573","0.0568690702973983","0.0668449197860963","0.0623295379767807","0","0.0783322804801011"
"25","OdinIzNih","0.0220582308912329","0.035560692273065","0","0.0347745391355164","0","0"
"27","DrugojRytsar_2","0.0220582308912329","0.035560692273065","0","0.0347745391355164","0","0"
"29","Rytsari_2","0.0653869369960604","0.0624453855990879","0.0203776095816352","0.0679642485377995","0","0.0284270372710044"
"31","Rytsar","0.0220582308912329","0.035560692273065","0","0.0347745391355164","0","0"
"33","DrugojRytsar_3","0.0220582308912329","0.035560692273065","0","0.0347745391355164","0","0"
"35","OdinIzRytsarej","0.0220582308912329","0.035560692273065","0","0.0347745391355164","0","0"
"37","OdinRytsar_2","0.0214037624536964","0.0350349921573331","0.0133910005822174","0.0349944933939259","0","0.0284270372710044"
"39","OdinIzRytsarej_2","0.0214037624536964","0.0350349921573331","0.0133910005822174","0.0349944933939259","0","0.0284270372710044"
"41","Rytsar_2","0.0214037624536964","0.0350349921573331","0.0133910005822174","0.0349944933939259","0","0.0284270372710044"
"43","DrugojRytsar_4","0.0214037624536964","0.0350349921573331","0.0133910005822174","0.0349944933939259","0","0.0284270372710044"
"45","Berta","0.000838693628060699","0.0139158661746633","0.00349330449970889","0.0118144548358905","0","0"
