"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","zoja","0.378885196664198","0.168881458862865","0.357484237070598","0.20678756253002","0.26190264998824","0.222283411544741"
"3","njanja","0.0940429015170684","0.139711025059279","0.0881729969746418","0.11430639470994","0.156058495186541","0.110265733670863"
"5","valentin","0.309484399769798","0.172293205506559","0.303325360994628","0.19811992775299","0.251033192300145","0.200720707033232"
"7","mina","0.0506439715785559","0.0897289367291585","0.0597110173310936","0.0825733784378204","0.0810269152416313","0.0816610306966813"
"9","gotlib","0.0202705728846466","0.0579314580099282","0.0199283065913984","0.0476550218603931","0.0238560591121562","0.0482244349643301"
"11","ohotnik","0.00224623540768539","0.0440115317036557","0.00674160111573431","0.0354333088984455","0.00274862568715642","0.0306897162407596"
"13","evgenij","0.0466067894851014","0.0927995087084833","0.0598778511789671","0.0883781984875984","0.0817023553440671","0.083260858037542"
"15","neznakomyj","0.0108718904753363","0.0453762303611334","0.0114207594463078","0.0402721531021021","0.0115748739152715","0.0389314691247811"
"17","graf","0.0314262428581626","0.070452568192286","0.0370176705365623","0.0655862486705292","0.0726390926969784","0.0679075025466573"
"19","dvoretskij","0.000586193803665044","0.0223469405161973","0.000954093138414471","0.0179015570183759","0.000916208562385474","0.0155545063598871"
"21","pervyj","0.0183118685185944","0.0321557121168182","0.0184553685405512","0.0343287495105952","0.0188471773218095","0.0335002099268418"
"23","vtoroj","0.0183118685185944","0.0321557121168182","0.0184553685405512","0.0343287495105952","0.0188471773218095","0.0335002099268418"
"25","tretij","0.0183118685185944","0.0321557121168182","0.0184553685405512","0.0343287495105952","0.0188471773218095","0.0335002099268418"
