"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","veleglasnyj","0.0206510672623251","0.0373174611089367","0.0157776771262814","0.0288585931251421","0.0598268171083705","0.0224739486177272"
"3","mavra_grigorevna","0.0206510672623251","0.0373174611089367","0.0157776771262814","0.0288585931251421","0.0598268171083705","0.0224739486177272"
"5","vasilisa_parfentevna","0.0288216915955924","0.0448957582679259","0.0213560157667888","0.0417958559240101","0.0684859616898452","0.0399585279369696"
"7","baev","0.062686530532813","0.0753395188123728","0.067289575459909","0.0785884018548384","0.0527420624508003","0.0803441029091867"
"9","prokofij_ivanych","0.123143316814854","0.11310549832774","0.125313370073353","0.113180174092972","0.104004397662994","0.11588904617878"
"11","lobastov","0.171876670439641","0.120087781569461","0.185046484110383","0.127953490257451","0.18026571981838","0.132148556592118"
"13","ivan_prokofich","0.0631264025502404","0.0734393908505187","0.0543421278400886","0.0729825870515734","0.0213592233009709","0.0736242386762581"
"15","zhivoedova","0.164419427216784","0.118101979883733","0.172930968740674","0.127895202428046","0.176821477649793","0.13243126740036"
"17","nastasya_ivanovna","0.0986178069029568","0.090903804106589","0.0942858138249115","0.094524904402915","0.165952607058666","0.0979277738736904"
"19","zhivnovskij","0.148423392754642","0.114628737056939","0.161710545201315","0.117955806166632","0.0877669902912621","0.121184001626815"
"21","lenochka","0.0113309457164279","0.0328239834416621","0.00878323702398263","0.0327331167696694","0","0.0305016604857857"
"23","furnachev","0.0719755201030092","0.0826881449014412","0.0679994003267421","0.0817933589077123","0.0229479258605472","0.0803833049207327"
"25","dmitrij","0.00581779870812902","0.0184816008460966","0.00374810720199511","0.0183535114165941","0","0.0178597317821481"
"27","mavra_gornichnaya","0.00581779870812902","0.0184816008460966","0.00374810720199511","0.0183535114165941","0","0.0178597317821481"
"29","lakej","0.00264056343213113","0.0223872788715499","0.00189089297529967","0.0161728930607077","0","0.0149401585995525"
