"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","vanjusha","0.0683381430853072","0.0808813381003759","0.0561037226705698","0.078948943465544","0.0882712304870476","0.0795746748180432"
"3","foma","0.101598781123639","0.0975133771570995","0.0940471684328437","0.0974910908447449","0.0855757082568023","0.0962683099157074"
"5","inkvartus","0.140853935876293","0.116060598517922","0.145706562292798","0.119110129977629","0.0653259158090958","0.120482319619782"
"7","knjaz","0.185601316610591","0.136323464726747","0.205089668909186","0.144710622926216","0.24520609133104","0.147952383709976"
"9","masha","0.0737863235717975","0.0920336809606279","0.0696921515332875","0.0848644903312607","0","0.0811023923002404"
"11","grafinja","0.0634312725803689","0.0742239494471563","0.0567413080071952","0.0775717110135711","0.118837738740905","0.0789810493749499"
"13","knjazhna","0.0415050116298246","0.0589026128443894","0.0449047599386937","0.0570356481467126","0.0405752753977968","0.057119657540331"
"15","graf","0.0205384722909698","0.044818444600342","0.0181228528909003","0.0402318033162283","0.0508720930232558","0.0392464860495982"
"17","knjaginja","0.158687624977749","0.128475943536279","0.177283658585035","0.128714775919775","0.199232379459718","0.131539152667759"
"19","radimov","0.103325834368087","0.0982726791489742","0.100923556207925","0.100665365921126","0.0855757082568023","0.0999521574520505"
"21","tsaplin","0.0408828355287409","0.059000301662618","0.0303507473130047","0.0585366696526205","0.0205278592375367","0.0566618390226161"
"23","sluga","0.00145044835663308","0.0134936092974685","0.00103384321856227","0.0121187484845714","0","0.0111195775289459"
