"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","semen","0.0880652032348977","0.092423111070708","0.0828379162229563","0.0926807640245289","0","0.0926207532405738"
"3","knjaz","0.0914468107533577","0.0918095758976963","0.0776908136597585","0.0926054097256309","0","0.090218189489665"
"5","sasha","0.174901830062548","0.141329626051892","0.192796392293821","0.140555861924348","0","0.144067816975797"
"7","grafinja","0.18749647906467","0.147602685833922","0.209070130864012","0.147217181946925","0","0.151736921675812"
"9","pronskij","0.117895886018253","0.113867582004038","0.132228512556241","0.111642336411084","0","0.110462685359559"
"11","olgin","0.0889024830083994","0.0917600267388307","0.0888398577160096","0.0927209529839411","0","0.0928614840374513"
"13","knjazhna","0.060310128904755","0.0704511819599817","0.0534066295664916","0.0738271184402665","0","0.0796773025878658"
"15","baron","0.077707782948348","0.0868997425536992","0.0766177022698511","0.0858142858462425","0","0.0849436904976864"
"17","ugarov","0.0711570310679168","0.0823309997143145","0.0664108497637164","0.0809556351160108","0","0.0794174418802383"
"19","olenka","0.0237969217108242","0.0427602730348674","0.00893869769181022","0.0432835092869717","0","0.0365315998562184"
"21","fialkin","0.0183194432260305","0.0387651951400504","0.0111624973953327","0.0386969442940509","0","0.0374621143991335"
