"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Nelkin","0.0305808222930544","0.0523153308182515","0.0286119792051192","0.0434120670416344","0.0743153376458497","0.0460840617124304"
"3","Atueva","0.0668901666462816","0.061744648342976","0.0614836290143926","0.0623599113785961","0.142045242939367","0.0627774797155915"
"5","Lidochka","0.0746655748226941","0.0740418863028702","0.0739501183549339","0.068941046262511","0.146360209917076","0.0725267097536028"
"7","Muromskij","0.113484280961884","0.100300304925246","0.164466553820749","0.1054901236908","0.240736869114414","0.10212413608559"
"9","Tishka","0.00606038206775965","0.0164413954625823","0.004459606386084","0.0160638918264145","0.0153401779285946","0.0151681204330941"
"11","Ivan_Sidorov","0.0413344986285324","0.0627444110377365","0.0410120537872417","0.0547689787386105","0.0586005494414901","0.0520008527041864"
"13","Tarelkin","0.206682126163635","0.116397011777306","0.170224243230618","0.124577256683195","0.135920280722466","0.151113805734188"
"15","Varravin","0.149128312539108","0.0964287014368235","0.124715983537783","0.0962166858342266","0.0871818946843492","0.0838771564513636"
"17","Paramonov","0.0235709666481555","0.0422713010819474","0.0210209296540193","0.043725167583711","0.0243573266548902","0.0422510062889226"
"19","Knjaz","0.0176547179973694","0.0419975127487504","0.0161870329696633","0.0379689454386122","0.0150127466717024","0.0371870196637753"
"21","Zhivets","0.0277862743540236","0.0491538349313859","0.0555778924410298","0.0476686888741641","0.0184996328628539","0.0389279264228413"
"23","Vazhnoe_litso","0.00396004195223401","0.0160115804253573","0.00197734295086621","0.0157156523677022","0.00801628603879645","0.0152137588774089"
"25","Golos","0.00221940152293721","0.0126506939175902","0.00162162162162162","0.0105283357338226","0","0.00507945315719903"
"27","Ibisov","0.0601534496909079","0.0531446790933176","0.0605379958517892","0.057029635634086","0.00840336134453782","0.0574855478756334"
"29","Shilo","0.0216259734742939","0.0326443974892152","0.0192710437722461","0.0331384398745333","0","0.0313608729190039"
"31","Chibisov","0.0601534496909079","0.0531446790933176","0.0605379958517892","0.057029635634086","0.00840336134453782","0.0574855478756334"
"33","Sherts","0.0414085993539358","0.0418337890742161","0.0413319012160187","0.0450489006863218","0.00840336134453782","0.046551946827884"
"35","Shmerts","0.0414085993539358","0.0418337890742161","0.0413319012160187","0.0450489006863218","0.00840336134453782","0.046551946827884"
"37","Omega","0.00723874649906954","0.0183297430492264","0.00709959225267406","0.0193298874554405","0","0.0192401106110701"
"39","Gerts","0.00399361533928029","0.016570309917668","0.00458058286534207","0.0159378485752103","0","0.0169925400626966"
