"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Tarelkin","0.107068770765997","0.106349158398822","0.138254080574279","0.108620253258826","0.042896497441952","0.0972278342448639"
"3","Mavrusha","0.0305762157295063","0.051374042251002","0.0297487462098471","0.0495696118260043","0.0241779497098646","0.0458418258478276"
"5","Varravin","0.1308164709768","0.101017075611523","0.148949907645702","0.111148562400541","0.199865269866894","0.131021062335727"
"7","Raspljuev","0.293609551646249","0.129192721706995","0.288787591072223","0.158930903007025","0.383916479909215","0.154118950531489"
"9","Ljudmila","0.00234194494623857","0.0225194187070754","0.00178183655463672","0.0195218706900996","0.00124343741365018","0.0192476497967458"
"11","PervyjKreditor","0.0178361078969914","0.0221770529597615","0.0165496799803767","0.0246880207960876","0.00124343741365018","0.0256956315015727"
"13","VtorojKreditor","0.0178361078969914","0.0221770529597615","0.0165496799803767","0.0246880207960876","0.00124343741365018","0.0256956315015727"
"15","TretijKreditor","0.0178361078969914","0.0221770529597615","0.0165496799803767","0.0246880207960876","0.00124343741365018","0.0256956315015727"
"17","ChetvertyjKreditor","0.0178361078969914","0.0221770529597615","0.0165496799803767","0.0246880207960876","0.00124343741365018","0.0256956315015727"
"19","Kreditory","0.0178361078969914","0.0221770529597615","0.0165496799803767","0.0246880207960876","0.00124343741365018","0.0256956315015727"
"21","Kachala","0.040291365011003","0.0581566241778307","0.0493589915072778","0.0560732166212217","0.121236731079187","0.0578410814034059"
"23","Chinovniki","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"25","Chibisov","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"27","Ibisov","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"29","TretijChinovnik","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"31","ChetvertyjChinovnik","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"33","Omega","0.0225242898747799","0.0239042258194601","0.0191573681359336","0.0244929901791243","0","0.024109173392007"
"35","Oh","0.13675381179206","0.122975474816698","0.11670547614699","0.109422932934245","0.137052991598446","0.106271958706623"
"37","KrestjanKrestjanovich","0.000951975782328913","0.0179612551300918","0.000156488243319156","0.011751061595642","0","0.0110593204530342"
"39","Chvankin","0.00636444483032506","0.0364259893003511","0.00399152846238539","0.0247075152128098","0.0253048329384207","0.0249287849195252"
"41","Popugajchikov","0.00482615826699282","0.0211115954099974","0.00341720180989035","0.0169541722911377","0.00573300573300573","0.0174448982439612"
"43","Vanechka","0.00954474491692862","0.0366417660318515","0.0116687086008358","0.0286571877804118","0.0321535970390932","0.0271328194398835"
"45","Pahomov","0.00626413330096771","0.0209821293710971","0.00474341722756427","0.0171223336634256","0.0101010101010101","0.0173653081085038"
"47","Shatala","0.00626413330096771","0.0209821293710971","0.00474341722756427","0.0171223336634256","0.0101010101010101","0.0173653081085038"
