"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Atueva","0.172816361197103","0.155231476625591","0.187377305874549","0.150843598517625","0.163168203790924","0.152481556465879"
"3","Tishka","0.00172656896770114","0.0298798777600055","0.00126246164317321","0.0207495886100468","0.00070466107520968","0.0179008839670707"
"5","Muromskij","0.225049540993918","0.16538072239448","0.23063805723235","0.173646758669083","0.216936480827821","0.177219988884859"
"7","Lidochka","0.158266045296489","0.135316739901059","0.165508895907758","0.143532634959576","0.154514800168096","0.145876412215821"
"9","Nelkin","0.0436160535843616","0.0803196958686105","0.0398624471841473","0.077178203715969","0.0452739348874776","0.0776924504927071"
"11","Krechinskij","0.200223316831615","0.150925104761086","0.203880082055907","0.165578450681181","0.211913953088035","0.169319289941648"
"13","Raspljuev","0.139162412128234","0.120662460712425","0.11047648114704","0.123820914640388","0.137082490083882","0.123664554820137"
"15","Bek","0.00733207532057348","0.0227379390453255","0.00664064578716096","0.0233993608496754","0.00110150821894594","0.0231727294113234"
"17","PolitsejskijChinovnik","0.00733207532057348","0.0227379390453255","0.00664064578716096","0.0233993608496754","0.00110150821894594","0.0231727294113234"
"19","Fedor","0.0442555646585012","0.103531592596266","0.0475890949039301","0.0874977798504035","0.0682024596406628","0.0809194114895647"
"21","Schebnev","0.00021998570092944","0.0132764512898249","0.000123882476823653","0.0103533486563757","0","0.0085799928996664"
