"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","malmira","0.0643026714925711","0.133738667124995","0.0655182608368648","0.108961427740727","0.098629985212878","0.0948787102288102"
"3","fedima","0.307895228189347","0.12971039401882","0.310274520824526","0.16541428950885","0.253280648108716","0.185436258125683"
"5","gikarn","0.09777964941093","0.124876466291411","0.114146611881081","0.110325419786499","0.112101539630929","0.112144673449179"
"7","orkant","0.128015187273288","0.120848193185236","0.130376654692595","0.130370120438105","0.143929430180211","0.133965375343751"
"9","otan","0.0592643559376211","0.08078030335582","0.0557587632310231","0.0909028909452465","0.0648216773205605","0.0904174020915127"
"11","voin","0.0119599176471621","0.055622395050058","0.00603327120436191","0.0425565518281083","0.0115835753337984","0.0357708153601204"
"13","darij","0.144164223088404","0.105218493533279","0.146920913629941","0.117170506184627","0.138724327047635","0.123396045856175"
"15","artistona","0.142367608239933","0.105218493533279","0.137846253029309","0.106373432306511","0.125271335352989","0.113119854678143"
"17","zanida","0.0401750484252816","0.093842650281442","0.0255629945222155","0.08074901281503","0.0451313169621693","0.067484409655065"
"19","pazh","0.00150656431594806","0.0245885790400894","0.00228241022519781","0.0216948233596115","0.00132739167535792","0.0185388374975518"
"21","voenachalnik","0.00256954597951436","0.0255553645855713","0.00527934592288456","0.0254815250866853","0.00519877317475655","0.0248476177140094"
