"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","astrada","0.0714851158162008","0.136942334438857","0.0579867924443689","0.109757438748702","0.099012706854946","0.0876263277192882"
"3","osnelda","0.14257914666446","0.126671659355943","0.150858449012009","0.117950754567117","0.13175943138327","0.121463621157137"
"5","kij","0.256861111111111","0.135444527655932","0.270789184359032","0.160979409787988","0.300137641800133","0.175251777680184"
"7","horev","0.202033341392871","0.118968653043757","0.18126633869545","0.154930653143521","0.205986594406794","0.157371839228603"
"9","velkar","0.103847665949346","0.093719910131593","0.13182109410516","0.107640373923138","0.0808742038922465","0.106433764205422"
"11","zavloh","0.0642136104046591","0.0774580079169787","0.0821906827200662","0.0847589662125008","0.0595866593767086","0.0851525119835964"
"13","edinyj_voin","0.0264904139892552","0.0485717342462822","0.0260978154417069","0.052376733671412","0.0301210231554682","0.0524978516863348"
"15","stalverh","0.0660196987253766","0.0921151171498877","0.0609747545582048","0.0841327060548665","0.032258064516129","0.0789982553089022"
"17","strazh_temnits","0.0264259044676194","0.0515138547127421","0.0148667601683029","0.0331230524836561","0.0266479663394109","0.0389797872723278"
"19","strazh_gradskih_vorot","0.0264259044676194","0.0515138547127421","0.0148667601683029","0.0331230524836561","0.0266479663394109","0.0389797872723278"
"21","nevolnik","0.00425840092699884","0.0298491494597197","0.00142005610098177","0.0269750106922466","0","0.0239262308440203"
"23","poslannyj","0.0093596860844833","0.0372311971755643","0.00686131222641433","0.0342518482311969","0.00696774193548387","0.0333182456418564"
