"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","semira","0.397352316673077","0.195299459170728","0.330779834149797","0.232834127256179","0.355955101014821","0.258662035395858"
"3","izbrana","0.0433229929967665","0.143553448621219","0.0324626387269495","0.120388647888323","0.0336293840559276","0.108731593826429"
"5","oskold","0.0807610343388185","0.138211924951592","0.155326421515637","0.138414439545632","0.0694190719766167","0.117638647676868"
"7","pervyj_voin","0.0169804470494701","0.0414635774854777","0.0169361023057622","0.0389711705535396","0.0184422762393548","0.0382437315491422"
"9","drugoj_voin","0.0169804470494701","0.0414635774854777","0.0169361023057622","0.0389711705535396","0.0184422762393548","0.0382437315491422"
"11","oleg","0.202638640411983","0.189957935501102","0.207340157151005","0.184158579685819","0.248807523326987","0.188072888894185"
"13","rostislav","0.237292789890021","0.189957935501102","0.234122756230586","0.195269559461472","0.248727823485996","0.203042101468919"
"15","voin","0.00244688797592108","0.0300460706416505","0.00383176364340085","0.0254961525277479","0.00328827183047132","0.023682634819729"
"17","vitozar","0.00222444361447371","0.0300460706416505","0.0022642239711005","0.0254961525277479","0.00328827183047132","0.023682634819729"
"19","vozved","0","0","0","0","0","0"
