"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","mihajlo_nagoj","0.03063471362663","0.0348511307298317","0.0396684659912039","0.0337289467084088","0","0.0390338452531894"
"3","saltykov","0.0129304335958005","0.0198332946206204","0","0.0198101241832965","0","0"
"5","golitsyn","0.0129304335958005","0.0198332946206204","0","0.0198101241832965","0","0"
"7","scherbatyj","0.00474338255206773","0.0122051045587611","0","0.0102077075038101","0","0"
"9","zaharin","0.0546444262317615","0.0457175707682791","0.0608901817729968","0.0499757667797744","0.0313515009637381","0.0246422362207092"
"11","mstislavskij","0.0804043566217324","0.0522875211786828","0.0624683923499986","0.056219692189369","0","0.0627586648873268"
"13","bojare","0.029076573258152","0.033988499966962","0.0175933425495909","0.0358948338428208","0","0.0237248196341373"
"15","belskij","0.10269012881147","0.0569719452983271","0.160236650341674","0.0661413146118297","0.0543478260869565","0.107006074167377"
"17","shujskij","0.0858736128914652","0.0527871680138464","0.0515835710453083","0.0589868223637306","0.0217391304347826","0.0519479868758999"
"19","trubetskoj","0.0129304335958005","0.0198332946206204","0","0.0198101241832965","0","0"
"21","sheremetev","0.0129304335958005","0.0198332946206204","0","0.0198101241832965","0","0"
"23","tatischev","0.00474338255206773","0.0122051045587611","0","0.0102077075038101","0","0"
"25","sitskij","0.00474338255206773","0.0122051045587611","0","0.0102077075038101","0","0"
"27","boris_godunov","0.145970210137989","0.0705575345445431","0.130278281292218","0.0781527774940197","0.0748916895457289","0.110785811108354"
"29","grigorij_nagoj","0.0256608311232524","0.0325013139541288","0.0315444440178636","0.0323590766935357","0.021807492480175","0.0220286657124521"
"31","bitjagovskij","0.0270055104586839","0.0281155383427819","0.0254899969533868","0.0328888110995089","0.0434782608695652","0.0332296821764108"
"33","sluga","0.00116834551783854","0.0106478617881414","0","0.00856199903503115","0","0"
"35","tsaritsa","0.0180919538907923","0.0211523382202326","0.0518003333839411","0.0231542473363517","0.0806726030815295","0.0581706121694922"
"37","fedor_ivanovich","0.0234411006290528","0.0262583843863612","0.0528579023465704","0.0294462182729255","0.072346547314578","0.059776091195993"
"39","kriki_na_ploschadi","0.001308286864523","0.0105638475935008","0","0.00756751871640941","0","0"
"41","ioann","0.0611251747551083","0.0448325617397066","0.0751009131813024","0.0507249816444433","0.0896118475022667","0.0988195534835201"
"43","stolnik_1","0.000739540478159527","0.00844535862322399","0","0.00702772105667363","0","0"
"45","sennaja_devushka","0.0026887121027007","0.00808723614052971","0.00436681222707424","0.00624314704472521","0.0108695652173913","0"
"47","dvoretskij_aleksandrovoj_slobody","0.000466755345484849","0.00760178304495689","0","0.00672702354445732","0","0"
"49","shut","0.00152004206560583","0.00979335135477688","0.00338075785321876","0.00985721026990474","0","0.00793672023731931"
"51","skomorohi","0.00304377562411908","0.0102199401221287","0.0109963310318576","0.00984055736451676","0","0.0177509441866927"
"53","jakobi","0.00344327828537887","0.010608324776166","0.00779091312969324","0.0104405200101762","0.016304347826087","0.0168264158436358"
"55","elms","0.00197686902939927","0.00775016040821199","0.00675472039784512","0.00713897021499436","0","0.0133701021918999"
"57","dvoretskij_kremlevskogo_dvortsa","0.000999552011136781","0.0037374633398501","0.00436681222707424","0.00331316872105913","0.0108695652173913","0"
"59","bojarin","0.000294087113478983","0.0060470228818042","0","0.00524357189154546","0","0"
"61","tsarevna_irina","0.00995893010569796","0.0134139635099058","0.0166966349858721","0.0138722412647111","0.0406649616368286","0.0234474611312202"
"63","streletskij_golova","0.0021998195919725","0.00717556496025319","0.00671236345382418","0.00710320737309618","0.0108695652173913","0.0132918728705643"
"65","streletskij_sotnik","0.0021998195919725","0.00717556496025319","0.00671236345382418","0.00710320737309618","0.0108695652173913","0.0132918728705643"
"67","marija_godunova","0.00336366447806746","0.0108339656101395","0.00724988560995438","0.0107864258094644","0.0108695652173913","0.0135345615606168"
"69","pervyj_volhv","0.00293820698012356","0.00546513501805281","0.0124766063630692","0.00499090999736895","0.0297482837528604","0"
"71","vtoroj_volhv","0.00293820698012356","0.00546513501805281","0.0124766063630692","0.00499090999736895","0.0297482837528604","0"
"73","dvoretskij_godunova","0.000558904121146691","0.00797796672104636","0.0029975575457035","0.00673046680150363","0","0.00752423836118623"
"75","gonets","0.000250351187515073","0.00516725202412355","0","0.00436883702766642","0","0"
"77","garaburda","5.53107640597037e-05","0.00376369943200395","0","0.0030795148124897","0","0"
"79","shimnik","5.53107640597037e-05","0.00376369943200395","0","0.0030795148124897","0","0"
"81","kikin","0.015764742082334","0.0137739056846968","0.0131004366812227","0.0109011183447307","0.0326086956521739","0.0168015246959381"
"83","odin_iz_naroda_4","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"85","drugoj_iz_naroda_4","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"87","tretij_iz_naroda_4","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"89","chetvertyj_iz_naroda_4","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"91","pjatyj_iz_naroda_4","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"93","narod","0.0197404966214816","0.0163455367404675","0.0174672489082969","0.0116410132550065","0.0434782608695652","0.0212819312815215"
"95","odin_iz_naroda_5","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"97","drugoj_iz_naroda_5","0.00732703240706322","0.00887768868085561","0","0.00777594317608941","0","0"
"99","odin_iz_naroda_6","0.00304609527557896","0.00633053599307621","0.00873362445414847","0.0046284537165033","0.0217391304347826","0.0112010164639587"
"101","vtoroj_iz_naroda_6","0.00304609527557896","0.00633053599307621","0.00873362445414847","0.0046284537165033","0.0217391304347826","0.0112010164639587"
"103","tretij_iz_naroda_6","0.00304609527557896","0.00633053599307621","0.00873362445414847","0.0046284537165033","0.0217391304347826","0.0112010164639587"
"105","grigorij_godunov","0.000253536988393313","0.00495062220688116","0","0.00231833738553096","0","0"
"107","mamka_tsarevicha_dmitrija","0.000576685775391492","0.00429091444771916","0.00145560407569141","0.00361483679587983","0.0063626723223754","0"
"109","stolnik_2","0.00167525296639593","0.00626349352493574","0.00504918924394734","0.006095337390694","0.00648976982097187","0.013833255332989"
"111","labaznik","0.0127450980392157","0.00865537321090088","0.0174672489082969","0.0119369712191169","0.0434782608695652","0.0238955017897786"
"113","odin_iz_naroda_1","0.00359717416378316","0.00395674203926898","0.0131004366812227","0.00295957964110335","0.0326086956521739","0.0179216263423339"
"115","drugoj_iz_naroda_1","0.00359717416378316","0.00395674203926898","0.0131004366812227","0.00295957964110335","0.0326086956521739","0.0179216263423339"
"117","tretij_iz_naroda_1","0.00359717416378316","0.00395674203926898","0.0131004366812227","0.00295957964110335","0.0326086956521739","0.0179216263423339"
"119","chetvertyj_iz_naroda_1","0.00359717416378316","0.00395674203926898","0.0131004366812227","0.00295957964110335","0.0326086956521739","0.0179216263423339"
"121","pervyj_pristav","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"123","odin_iz_naroda_2","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"125","drugoj_iz_naroda_2","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"127","tretij_iz_naroda_2","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"129","vtoroj_pristav","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"131","odin_iz_naroda_3","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"133","drugoj_iz_naroda_3","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"135","tretij_iz_naroda_3","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"137","chetvertyj_iz_naroda_3","0.0089677047289504","0.00723341904053859","0","0.00710299113864805","0","0"
"139","kljuchnik","0.000980392156862745","0.0039826898556836","0.00436681222707424","0.00380643199457636","0.0108695652173913","0"
