"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","andrej_shujskij","0.0113168111055758","0.0327609537658213","0","0","0","0"
"3","chudovskij_arhimandrit","0.005591255116099","0.0145597267984186","0","0","0","0"
"5","blagoveschenskij_protopop","0.005591255116099","0.0145597267984186","0","0","0","0"
"7","dmitrij_shujskij","0.0113168111055758","0.0327609537658213","0","0","0","0"
"9","golovin","0.0113168111055758","0.0327609537658213","0","0","0","0"
"11","ivan_petrovich_shujskij","0.0523438042007795","0.0542267446514499","0.115384615384615","0.135930735930736","0","0.139451728247914"
"13","vasilij_shujskij","0.026232049756762","0.0310007883494143","0.0384615384615385","0.0606060606060606","0.142857142857143","0.0452920143027414"
"15","bojare","0.00873135842509186","0.0247548281246221","0","0","0","0"
"17","kuptsy","0.00919540229885058","0.018567532391005","0.0192307692307692","0","0","0"
"19","shahovskoj","0.0286983708336035","0.0423828757863693","0.0576923076923077","0.0735930735930736","0","0.0750893921334922"
"21","volohova","0.0133287829625082","0.0264203054263545","0.0192307692307692","0.0346320346320346","0.142857142857143","0"
"23","vse_1-1","0.005591255116099","0.0145597267984186","0","0","0","0"
"25","hvorostinin","0.00873135842509186","0.0247548281246221","0","0","0","0"
"27","starkov","0.0107245000869818","0.0200212249013793","0.0192307692307692","0","0","0"
"29","fedor_ivanovich","0.140773396503586","0.0417522357552664","0.115384615384615","0.116883116883117","0","0.139451728247914"
"31","boris_godunov","0.139719921646588","0.0441748427113951","0.0961538461538461","0.0987012987012987","0.285714285714286","0.106078665077473"
"33","dionisij","0.000535543821457542","0.0136427935885033","0","0","0","0"
"35","varlaam","0.000535543821457542","0.0136427935885033","0","0","0","0"
"37","iov","0.000535543821457542","0.0136427935885033","0","0","0","0"
"39","irina","0.150250501633535","0.0458710314720793","0.134615384615385","0.137662337662338","0.142857142857143","0.163289630512515"
"41","kleshnin","0.147624366515478","0.0481451252529967","0.153846153846154","0.153246753246753","0.285714285714286","0.181168057210965"
"43","stolnik_2-1","0.000535543821457542","0.0136427935885033","0","0","0","0"
"45","ivan_ivanovich_shujskij","0.00283439439617019","0.0207375857235167","0","0","0","0"
"47","vybornye","0.000535543821457542","0.0136427935885033","0","0","0","0"
"49","kurjukov","0.000535543821457542","0.0136427935885033","0","0","0","0"
"51","krasilnikov","0.00666178953499623","0.0284090401246719","0.0192307692307692","0.0398268398268398","0","0"
"53","golub_syn","0.00407633685451232","0.0186039670168379","0.0192307692307692","0","0","0"
"55","golub_otets","0.000535543821457542","0.0136427935885033","0","0","0","0"
"57","golos_2-1","0.000535543821457542","0.0136427935885033","0","0","0","0"
"59","knjazhna_mstislavskaja","0.0227155299438819","0.0259330498284444","0.0192307692307692","0.0398268398268398","0","0"
"61","mstislavskij","0.0189263484191587","0.0250120619763925","0","0","0","0"
"63","vse_3-1","0","0.0108585820141175","0","0","0","0"
"65","duhovnik","0.00283439439617019","0.00743482833634757","0.0192307692307692","0","0","0"
"67","stolnik_3-2","0.00283439439617019","0.00743482833634757","0.0192307692307692","0","0","0"
"69","vse_4-1","0.000859806317313785","0.00725402548571403","0","0","0","0"
"71","stolnik_4-3","0.00480113925338216","0.00718834877488451","0.0384615384615385","0.0363636363636364","0","0.0500595947556615"
"73","sennaja_devushka","0.00480113925338216","0.00718834877488451","0.0384615384615385","0.0363636363636364","0","0.0500595947556615"
"75","slugi","0.00480113925338216","0.00718834877488451","0.0384615384615385","0.0363636363636364","0","0.0500595947556615"
"77","posadskij_4-4a","0","0","0","0","0","0"
"79","drugoj_posadskij","0","0","0","0","0","0"
"81","tretij_posadskij","0","0","0","0","0","0"
"83","gusljar","0","0","0","0","0","0"
"85","odin_iz_naroda_4-4a","0","0","0","0","0","0"
"87","drugoj_iz_naroda_4-4a","0","0","0","0","0","0"
"89","zhenschina_4-4a","0","0","0","0","0","0"
"91","odin_4-4a","0","0","0","0","0","0"
"93","odin_4-4b","0","0","0","0","0","0"
"95","drugoj_4-4a","0","0","0","0","0","0"
"97","zhenschina_4-4b","0","0","0","0","0","0"
"99","odin_4-4c","0","0","0","0","0","0"
"101","odin_4-4d","0","0","0","0","0","0"
"103","odin_4-4e","0","0","0","0","0","0"
"105","drugoj_4-4b","0","0","0","0","0","0"
"107","vse_4-4","0","0","0","0","0","0"
"109","odin_4-4f","0","0","0","0","0","0"
"111","drugoj_4-4c","0","0","0","0","0","0"
"113","gonets_4-4","0","0","0","0","0","0"
"115","posadskij_4-4b","0","0","0","0","0","0"
"117","odin_4-4g","0","0","0","0","0","0"
"119","zhenschina_4-4c","0","0","0","0","0","0"
"121","tretij_4-4","0","0","0","0","0","0"
"123","chetvertyj_4-4","0","0","0","0","0","0"
"125","narod","0","0","0","0","0","0"
"127","golosa_v_narode","0","0","0","0","0","0"
"129","turenin","0.0309857209695266","0.0244128628115447","0.0192307692307692","0","0","0"
"131","odin_iz_naroda_4-4b","0","0","0","0","0","0"
"133","drugoj_iz_naroda_4-4b","0","0","0","0","0","0"
"135","govor_v_narode","0","0","0","0","0","0"
"137","sluga_v_tsarskom_tereme","0.000401657866093157","0.00807494896403691","0","0","0","0"
"139","sluga_godunova","0.000267771910728771","0.00739076363359747","0","0","0","0"
"141","stremjannyj","0.000535543821457542","0.00907350249183182","0","0","0","0"
"143","pervyj_nischij","0.0143286472697334","0.0149468790834637","0","0","0","0"
"145","slepoj","0.0143286472697334","0.0149468790834637","0","0","0","0"
"147","drugoj_nischij","0.0143286472697334","0.0149468790834637","0","0","0","0"
"149","chetvertyj_nischij","0.0143286472697334","0.0149468790834637","0","0","0","0"
"151","vse_5-2","0.0143286472697334","0.0149468790834637","0","0","0","0"
"153","gonets_5-2","0.0143286472697334","0.0149468790834637","0","0","0","0"
"155","ratnik","0.0143286472697334","0.0149468790834637","0","0","0","0"
