"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","petr","0.0352901773911423","0.0666066040928965","0.0383373435235175","0.0669415200998096","0.0620289679745029","0.0678684666824157"
"3","nikita","0.251216929018837","0.145079515923405","0.252003555782009","0.153455282275152","0.237539147526443","0.160882164892631"
"5","akulina","0.0647395860289411","0.0825652611232722","0.0578044788000273","0.0797747928721313","0.0506746852500394","0.0789908363949035"
"7","anisja","0.26175219444732","0.146539325456737","0.270412365583254","0.163134597314712","0.281692363402817","0.169103442085042"
"9","anjutka","0.0527550872966125","0.0659770748285789","0.0490741108193953","0.0699231465690133","0.0708019332444509","0.0709723699762895"
"11","akim","0.0716539779998824","0.0795536413137191","0.0773045988492028","0.0836148098192208","0.0691863463424963","0.086333024369992"
"13","matrena","0.170875571900109","0.132293123524308","0.177090302585832","0.133736094126913","0.0876480527909072","0.130910408736865"
"15","marina","0.00828413495460511","0.0276165719702184","0.003124728647426","0.0198397724877239","0.0213836477987421","0.0201689222104893"
"17","mitrich","0.0299491397395378","0.0544089210727528","0.0241723054814799","0.0559897738433546","0.019601677148847","0.0558032133819604"
"19","muzh_mariny","0.00147531670054061","0.0113738354973851","0.00116231627855637","0.0096702196781123","0.0047049786355562","0.00965003115559969"
"21","svaha","0.0085342240814943","0.0203616129646273","0.00712164638016585","0.0197058374243118","0.0125786163522013","0.0195667422943674"
"23","urjadnik","0.00722395496909654","0.0214598921154956","0.00588954464106632","0.0203400224508257","0.00628930817610063","0.0201775753034727"
"25","starosta","0.00135839936222931","0.0108945608468924","0.00129187198085901","0.00965026086432302","0","0.00883010291526872"
"27","marfa","0.000193799601862115","0.0102761456093486","8.67398453504277e-05","0.00845128987461451","0","0.00736691091589477"
"29","kuma","0.0100471397173449","0.0327419511938402","0.00757979122663319","0.0286043944546853","0.0189470353229698","0.0268481488358221"
"31","golos_muzhika","0.000964636208120459","0.0106962108673358","0.000786756179225269","0.00976740172891884","0.00259433962264151","0.00920927539307433"
"33","izvozchik","0.00372550741118196","0.0108595984372885","0.00357183189059183","0.00943556268961124","0.00628930817610063","0.00854946222189697"
"35","druzhko","0.00372550741118196","0.0108595984372885","0.00357183189059183","0.00943556268961124","0.00628930817610063","0.00854946222189697"
"37","odin_golos_iz_naroda","1.84786264930887e-05","0.00898745484869963","1.8136881194206e-05","0.00636390276779799","0","0.00512932157248407"
"39","svat","0.00227073087874534","0.00991932755351324","0.00227038913344646","0.00823707309406265","0.00628930817610063","0.00655188519711712"
"41","golos_baby_iz_senej","0.00227073087874534","0.00991932755351324","0.00227038913344646","0.00823707309406265","0.00628930817610063","0.00655188519711712"
"43","pervaja_devka","0.00556975894813733","0.0108501503988725","0.00737502208090444","0.0096405394200537","0.014009313937299","0.00840495281927685"
"45","vtoraja_devka","0.00556975894813733","0.0108501503988725","0.00737502208090444","0.0096405394200537","0.014009313937299","0.00840495281927685"
"47","sosedka","0.000535257479701924","0.00931014397113906","0.000304920304920305","0.00641053094092532","0.00115303983228511","0.00517644240684539"
