"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","njanja","0.000923316447613123","0.00941051798853784","0.000900725630516511","0.00762981639196062","0.00245899559327689","0.00873294096774633"
"3","anna_pavlovna","0.0489035974284019","0.0414201523212787","0.096524355583654","0.0503365983037459","0.0699106906954423","0.0625551391592069"
"5","sasha","0.0447640103897152","0.0420952765004539","0.0546048295892197","0.0427422326194261","0.0684792171718142","0.0486454744279822"
"7","gornichnaja","0.00328356489481809","0.0159120912159153","0.00304356321728457","0.0133205919570938","0.00554990022160497","0.0141948063677415"
"9","karenin","0.143542313646452","0.0732021437042759","0.141607239953238","0.0899987474388339","0.165333387232245","0.109713924088469"
"11","liza","0.171122525546977","0.0758347033966571","0.129479198359321","0.0847691734874975","0.100173501052907","0.105198876518308"
"13","doktor","0.0022150380095723","0.0114195869881835","0.00259505022366632","0.011486217829857","0.00368849338991533","0.0126267240257267"
"15","fedja","0.142149959608906","0.0745578512877949","0.179185284899265","0.0953142304644309","0.145152146543533","0.127303333631074"
"17","muzykant","0.0166251890972467","0.0246024026090405","0.0150997198554872","0.0268678200543283","0.0202125859496377","0.0181646515460193"
"19","afremov","0.0915057164140779","0.0487994072009364","0.0445970182246057","0.0561558441561646","0.0481876073930392","0.0375402405104881"
"21","masha","0.0371063694508408","0.0362462222161834","0.00956681392401244","0.0341382722131424","0.0126552613077103","0.00972833761626886"
"23","anna_dmitrievna","0.0492267542734444","0.0522306313161213","0.0861923780154307","0.0495645927947309","0.0646347026044395","0.0669071521693247"
"25","knjaz_abrezkov","0.0260321586443492","0.0502218386476262","0.0271020261810421","0.0336112531086786","0.0286702875346214","0.0407721670150951"
"27","lakej_3-1-5","0.00233923327454402","0.0128200804374368","0.0017821246834626","0.0104620231450413","0.00176002816045057","0.00988343146480468"
"29","lakej_4-2-3","0.000174552892630457","0.00889621179917298","0.00098942593623073","0.0078720180601694","0","0.00725957766653503"
"31","voznesenskij","0.000753112171538932","0.0176031704591702","0.00430303562674081","0.0155032900907176","0","0.0181932673085988"
"33","marja_vasilevna","0.0036121172942438","0.0183397951687933","0.00226120507332291","0.0135117695122173","0","0.0157677475979631"
"35","sudebnyj_sledovatel","0.00675206612216251","0.0186917803964805","0.00992685807780073","0.0204266067338211","0.00796812749003984","0.0183961792038323"
"37","malchik","0.00127025483587663","0.0107637722906229","0.000651022071843966","0.0093325590575421","0","0.0111163622696083"
"39","tsygan","0.0124502580837966","0.0178698637183292","0.0114200794406315","0.0195999624015978","0.00770252324037185","0.0137059050070899"
"41","ofitser","0.012832373134279","0.016316596211659","0.0127070876262451","0.017314549481681","0.0141970086193194","0.0168264728405307"
"43","tsyganka","0.00994810462501046","0.0141897730730849","0.00983947425015717","0.0156153554065424","0.00679803309285381","0.0135974430277382"
"45","korotkov","0.0335926253984895","0.0302527006584715","0.0315456467148274","0.030279912953916","0.0534481791145278","0.0306508388791882"
"47","stahovich","0.0335926253984895","0.0302527006584715","0.0315456467148274","0.030279912953916","0.0534481791145278","0.0306508388791882"
"49","lakej_2-2-2","0.00147661245850025","0.0095526330773078","0.000830752282311297","0.00934442666022409","0","0.0056165351280413"
"51","butkevich","0.00523401005467344","0.0209361959191631","0.0123636231037248","0.0156074290396135","0.0044890859098816","0.0166730164925716"
"53","nastasja_ivanovna","0.00499403438050227","0.0138298685990113","0.00338983050847458","0.00792498042684666","0.00632982090330268","0.00568191564847442"
"55","ivan_makarovich","0.00499403438050227","0.0138298685990113","0.00338983050847458","0.00792498042684666","0.00632982090330268","0.00568191564847442"
"57","polovoj","0.00950754488578517","0.0180605574863689","0.00840386367778385","0.0180708907440178","0.0123455756804714","0.00989016977593655"
"59","ivan_petrovich","0.0339056683853752","0.0361104998126879","0.0289841934869549","0.0379834031367239","0.0330306901275364","0.0266806655295417"
"61","petushkov","0.0127933889346662","0.0214339037050912","0.00846986646680714","0.0177298338687212","0.0169723409939018","0.0116858181007599"
"63","artemev","0.00457898080180689","0.0115527061500477","0.0040738906874881","0.0103232057563135","0.00620097034439664","0.00682636169250735"
"65","dama","0.00358551350886844","0.0124481707228305","0.00312680093981351","0.0132511519627291","0.0018748535270682","0.0105415045940412"
"67","petrushin","0.000428391053391053","0.00719101270810566","0","0.00648766930952511","0","0"
"69","sudejskij","0.000428391053391053","0.00719101270810566","0","0.00648766930952511","0","0"
"71","lakej_3-1-2","0.000744537446314932","0.00937301782947893","0.000285617648164155","0.00677782266263618","0","0.00752725277843725"
"73","molodoj_advokat","0.00471161536523144","0.0248821878989278","0.00321192081716959","0.0196868607570056","0.00826209297780137","0.0169978391470417"
"75","kurer","0.00718515449323027","0.0204995421529825","0.00515254237288135","0.0171981738163597","0.0105711607352104","0.0129110808595957"
"77","melnikov","0.00535714285714286","0.0105797761830909","0.00542372881355932","0.00953407575292967","0.00658236618742422","0.00757704620802498"
"79","pismovoditel","0.00535714285714286","0.0105797761830909","0.00542372881355932","0.00953407575292967","0.00658236618742422","0.00757704620802498"
