"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","sekretarsha","0","0.0588536335721597","0","0","0","0"
"3","direktor","0","0.0588536335721597","0","0","0","0"
"5","egorych","0","0.0588536335721597","0","0","0","0"
"7","kurer","0","0.0281473899692938","0","0","0","0"
"9","vaska","0","0.0307062436028659","0","0","0","0"
"11","lukach","0","0.0537359263050153","0","0","0","0"
"13","rabochij_1","0","0.0281473899692938","0","0","0","0"
"15","baba","0","0.0281473899692938","0","0","0","0"
"17","staruha","0","0.0307062436028659","0","0","0","0"
"19","baby","0","0.0281473899692938","0","0","0","0"
"21","pervyj_rabochij_1","0","0.0281473899692938","0","0","0","0"
"23","vtoroj_rabochij_1","0","0.0281473899692938","0","0","0","0"
"25","pervyj_komsomolec","0","0.0281473899692938","0","0","0","0"
"27","vtoroj_komsomolec","0","0.0281473899692938","0","0","0","0"
"29","petya","0","0.0537359263050153","0","0","0","0"
"31","hor_komsomolcev","0","0.0281473899692938","0","0","0","0"
"33","podrostok","0","0.0307062436028659","0","0","0","0"
"35","golos_iz_podpolya","0","0","0","0","0","0"
"37","pervyj_rabochij_2","0","0","0","0","0","0"
"39","vtoroj_rabochij_2","0","0","0","0","0","0"
"41","tretij_rabochij","0","0","0","0","0","0"
"43","chetvertyj_rabochij","0","0","0","0","0","0"
"45","pyatyj_rabochij","0","0","0","0","0","0"
"47","golosa","0","0","0","0","0","0"
"49","inzhener","0","0.0330092118730809","0","0","0","0"
"51","golos_2a","0","0","0","0","0","0"
"53","golos_2b","0","0","0","0","0","0"
"55","dudin","0","0.0330092118730809","0","0","0","0"
"57","zhenschiny","0","0","0","0","0","0"
"59","zhena_fomy","0","0","0","0","0","0"
"61","zhenskij_golos","0","0","0","0","0","0"
"63","zhena_dudina","0","0","0","0","0","0"
"65","foma","0","0","0","0","0","0"
"67","golos_2c","0","0","0","0","0","0"
"69","golos_2d","0","0","0","0","0","0"
"71","zhena_rabochego","0","0","0","0","0","0"
"73","rabochij_na_nosilkah","0","0","0","0","0","0"
"75","nosilschik","0","0","0","0","0","0"
"77","za_scenoj_pesnya","0","0.0304503582395087","0","0","0","0"
"79","golosa_komsomolcev","0","0.0304503582395087","0","0","0","0"
"81","komsomolec","0","0.0304503582395087","0","0","0","0"
"83","golos_v_ton","0","0.0304503582395087","0","0","0","0"
"85","staryj_rabochij","0","0.0304503582395087","0","0","0","0"
"87","rabochij_3a","0","0.0304503582395087","0","0","0","0"
"89","rabochij_3b","0","0.0304503582395087","0","0","0","0"
"91","odin_rabochij","0","0.0304503582395087","0","0","0","0"
"93","drugoj_rabochij","0","0.0304503582395087","0","0","0","0"
"95","rabochie","0","0.0304503582395087","0","0","0","0"
