"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","gorskij","0.301872151869434","0.190867056880223","0.298201903434139","0.209045307322497","0.298939709594647","0.214657295784596"
"3","muhin","0.17337267813409","0.140025783283322","0.167884514880221","0.146776276016805","0.17017267853665","0.149658166385494"
"5","mademoiselle_bienaime","0.0639068895216277","0.0969084383865768","0.0770364766772153","0.0911452456753973","0.0853929341738725","0.0903985176548894"
"7","vera","0.180113774829939","0.145023229278842","0.167524409881553","0.145352573890366","0.166404748434068","0.146551028064923"
"9","gospozha_libanova","0.104852711257307","0.124675221291773","0.108452490325877","0.119718152048324","0.0987329604330514","0.117136039892458"
"11","varvara_ivanovna","0.0834800789843447","0.0991351764916602","0.0845460427526512","0.100262626309546","0.0896677692907032","0.100687094808151"
"13","chuhanov","0.0741222660750101","0.0918114857230044","0.0750891263288508","0.0934717159329787","0.0784981603573328","0.0955657673487844"
"15","sluga","0.00388913674841878","0.0256771428760965","0.00352992386129629","0.0242275422617825","0.00165289256198347","0.0222781475007221"
"17","stanitsyn","0.0137309175747462","0.0600555910585519","0.0170787285303325","0.0527262536735764","0.00974900520355066","0.0491407841832091"
"19","dvoretskij","0.000659395005082837","0.02582087472995","0.000656383327863472","0.0172743068687272","0.000789141414141414","0.0139271583767736"
