"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","stratilat","0.107310068928377","0.102344400809235","0.112322924494169","0.102903063787042","0.0666666666666667","0.10363692667653"
"3","moshkin","0.177304869289433","0.138045935975247","0.182343290910754","0.14067302862883","0.2","0.140797577676083"
"5","malanja","0.0414717852160028","0.0643817684160419","0.0283003360607832","0.0634053239578101","0","0.0614182981798162"
"7","shpundik","0.107310068928377","0.102344400809235","0.112322924494169","0.102903063787042","0.0666666666666667","0.10363692667653"
"9","prjazhkina","0.107310068928377","0.102344400809235","0.112322924494169","0.102903063787042","0.0666666666666667","0.10363692667653"
"11","masha","0.177304869289433","0.138045935975247","0.182343290910754","0.14067302862883","0.2","0.140797577676083"
"13","vilitskij","0.103613638529148","0.0985362370581935","0.109776501190774","0.0998493219487695","0.133333333333333","0.10183050614183"
"15","fonk","0.103613638529148","0.0985362370581935","0.109776501190774","0.0998493219487695","0.133333333333333","0.10183050614183"
"17","pochtalon","0.0213619605291694","0.0516482208734975","0.0145474137931034","0.0491612255148167","0","0.0473282180091525"
"19","mitka","0.0266995159162672","0.0518862311079376","0.0179719462302747","0.0488397790055249","0.0666666666666667","0.0475432680728073"
"21","sozomenos","0.0266995159162672","0.0518862311079376","0.0179719462302747","0.0488397790055249","0.0666666666666667","0.0475432680728073"
