"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","shaaf","0.0629971892119756","0.0697701340110148","0","0.0699257872239559","0","0"
"3","anna_semenovna","0.0467266927407955","0.0623950617734082","0","0.0614926664889381","0","0"
"5","natalja_petrovna","0.115382550178988","0.0998483238140727","0","0.100172785336395","0","0"
"7","rakitin","0.115382550178988","0.0998483238140727","0","0.100172785336395","0","0"
"9","lizaveta_bogdanovna","0.0859936386519472","0.0864226114191021","0","0.0862536666256576","0","0"
"11","kolja","0.0629971892119756","0.0697701340110148","0","0.0699257872239559","0","0"
"13","beljaev","0.115382550178988","0.0998483238140727","0","0.100172785336395","0","0"
"15","matvej","0.0629971892119756","0.0697701340110148","0","0.0699257872239559","0","0"
"17","shpigelskij","0.115382550178988","0.0998483238140727","0","0.100172785336395","0","0"
"19","vera","0.115382550178988","0.0998483238140727","0","0.100172785336395","0","0"
"21","islaev","0.0699938161840903","0.077506166402631","0","0.0773465453350418","0","0"
"23","katja","0.0226169648715042","0.0407939664963348","0","0.040256205946154","0","0"
"25","bolshintsov","0.00876456902079611","0.0243301728051162","0","0.0240096272503639","0","0"
