"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","trembinskij","0.0923407301360057","0.0825570189527787","0","0.0846560846560847","0","0"
"3","petr","0.0923407301360057","0.0825570189527787","0","0.0846560846560847","0","0"
"5","anpadist","0.0337866857551897","0.0513973658849984","0","0.0476190476190476","0","0"
"7","egor","0.0337866857551897","0.0513973658849984","0","0.0476190476190476","0","0"
"9","masha","0.0337866857551897","0.0513973658849984","0","0.0476190476190476","0","0"
"11","kuzovkin","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"13","ivanov","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"15","praskovja_ivanovna","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"17","drugoj_golos","0.0337866857551897","0.0513973658849984","0","0.0476190476190476","0","0"
"19","golosa_devok","0.0337866857551897","0.0513973658849984","0","0.0476190476190476","0","0"
"21","olga","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"23","eletskij","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"25","tropachev","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
"27","karpachov","0.0923407301360058","0.0825570189527787","0","0.0846560846560847","0","0"
