"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","mirvolin","0.182939524272437","0.146342669677814","0.192378904189463","0.14762485998626","0.2","0.148337720687275"
"3","gerasim","0.067063944024665","0.0867428716754438","0.0636847270178766","0.0857009004717866","0.2","0.0856743588302134"
"5","balagalaev","0.186901797439454","0.151028420327022","0.198989589042608","0.151521598441024","0.2","0.150870673240576"
"7","velvitskij","0.0391495897046198","0.0611958481065011","0.0344257114137951","0.0619305705224556","0","0.0617111134590843"
"9","alupkin","0.1522145836409","0.133240266692298","0.162344840697604","0.133491040997748","0","0.132904733962366"
"11","suslov","0.138838081276288","0.124045568017247","0.141332818835447","0.125685929498087","0.2","0.125769463246024"
"13","kaurova","0.123370357260891","0.114201174989077","0.120774445607356","0.115495811944953","0.2","0.116100579492132"
"15","karp","0.00283544175346002","0.0209151696117384","0.00204660163070594","0.0191008025506637","0","0.0180945617223439"
"17","bespandin","0.0732143379224095","0.0875939923802239","0.0628682678520459","0.0879649369830701","0","0.0874172005170755"
"19","pehterev","0.023600946290567","0.0477343786264121","0.016398596853908","0.047029542170448","0","0.0465704310764017"
"21","naglanovich","0.00987139641430832","0.0269596398962229","0.00475549685919072","0.0244540064335044","0","0.0265491637665073"
